Carbon Footprint (kg CO2/unit),CO2 Emission per kg (estimated),Biodegradation Time (days),Recyclability (%),Recycled Content (%),Reusability (%),End-of-Life Disposal (%),Waste Reduction Impact (%),Sustainability Target Progress (%),Load Handling Score,Moisture Resistance Score,Thermal Resistance Score,Cost per Unit (USD),Annual Usage (units),Total Material Weight (tons),Supplier Region,Supplier Sustainability Compliance (%),Packaging Type,Suitable Product Categories,Recommended Packaging Use Cases,Recyclability Category
1.06,1.43,60408.0,84.0,40.0,92.0,12.0,76.0,77.0,9.0,8.0,7.0,12.01,57077.0,1087.0,LATAM,88.0,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,Medium
3.58,3.13,90587.0,97.0,70.0,98.0,8.0,83.0,76.0,8.0,10.0,10.0,25.43,21272.0,4976.0,APAC,93.0,Steel Racks & Containers,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",High
1.18,1.42,25270.0,90.0,52.0,99.0,10.0,80.0,82.0,7.0,7.0,7.0,14.28,48512.0,1065.0,APAC,95.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
0.76,0.51,154.0,100.0,77.0,48.0,5.0,60.0,91.0,5.0,4.0,4.0,2.98,103323.0,737.0,EMEA,85.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
0.47,0.3,104.0,100.0,85.0,32.0,2.0,64.0,95.0,3.0,2.0,3.0,1.83,78051.0,715.0,AMERICAS,84.0,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,High
0.74,0.51,201.0,96.0,81.0,50.0,5.0,61.0,90.0,5.0,4.0,4.0,2.6,99953.0,717.0,ROW,85.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
0.92,1.38,50911.0,84.0,42.0,89.0,11.0,77.0,82.0,7.0,8.0,8.0,11.34,60692.0,1224.0,APAC,90.0,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,Medium
1.18,1.52,29304.0,82.0,48.0,93.0,11.0,79.0,83.0,7.0,9.0,7.0,15.11,51095.0,966.0,LATAM,93.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
0.85,0.5,211.0,97.0,75.0,44.0,5.0,61.0,89.0,5.0,4.0,4.0,3.77,98647.0,753.0,APAC,93.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
1.2,1.52,32911.0,93.0,50.0,97.0,10.0,80.0,90.0,8.0,7.0,7.0,14.55,46054.0,1003.0,LATAM,100.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
0.5,0.3,141.0,100.0,92.0,30.0,3.0,65.0,93.0,2.0,2.0,3.0,1.6,73892.0,525.0,LATAM,85.0,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,High
1.18,1.46,25244.0,95.0,50.0,96.0,11.0,78.0,82.0,8.0,7.0,7.0,14.41,49673.0,995.0,EMEA,86.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
0.77,0.48,197.0,99.0,78.0,50.0,5.0,59.0,83.0,5.0,4.0,4.0,3.87,96646.0,743.0,AMERICAS,87.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
0.76,0.5,252.0,100.0,80.0,48.0,6.0,64.0,91.0,4.0,4.0,4.0,2.78,100650.0,782.0,EMEA,85.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
0.92,1.47,37036.0,95.0,42.0,87.0,13.0,72.0,83.0,9.0,9.0,7.0,12.72,57467.0,1176.0,EU,96.0,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,Medium
0.5,0.29,122.0,100.0,91.0,33.0,2.0,68.0,91.0,1.0,2.0,3.0,2.02,77375.0,549.0,LATAM,85.0,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,High
0.85,0.5,154.0,96.0,82.0,50.0,5.0,60.0,90.0,5.0,3.0,4.0,3.22,96860.0,862.0,APAC,86.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
1.96,1.4,31602.0,73.0,30.0,12.0,26.0,30.0,56.0,9.0,7.0,6.0,1.42,31018.0,171.0,LATAM,70.0,Bubble Wrap (Minimal Use),"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,Medium
0.92,1.47,52407.0,85.0,38.0,87.0,12.0,75.0,81.0,9.0,9.0,7.0,12.45,56902.0,1222.0,APAC,97.0,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,Medium
0.81,0.5,275.0,99.0,83.0,49.0,6.0,65.0,89.0,5.0,3.0,5.0,3.18,100778.0,819.0,APAC,92.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
0.73,0.49,230.0,100.0,80.0,50.0,5.0,60.0,85.0,5.0,5.0,4.0,3.07,98791.0,732.0,EU,83.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
1.21,1.52,42997.0,90.0,48.0,99.0,10.0,76.0,82.0,9.0,7.0,7.0,14.94,48860.0,978.0,LATAM,86.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
3.6,3.02,99557.0,88.0,71.0,97.0,8.0,83.0,73.0,9.0,9.0,10.0,25.68,19707.0,5063.0,AMERICAS,94.0,Steel Racks & Containers,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",High
0.72,0.5,250.0,97.0,77.0,48.0,5.0,61.0,90.0,5.0,4.0,4.0,3.39,100328.0,741.0,AMERICAS,87.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
0.52,0.29,133.0,100.0,88.0,29.0,3.0,66.0,98.0,2.0,2.0,3.0,1.76,75226.0,663.0,LATAM,82.0,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,High
1.06,1.48,52150.0,84.0,41.0,86.0,13.0,77.0,78.0,7.0,9.0,8.0,12.72,59942.0,1268.0,LATAM,90.0,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,Medium
1.99,1.52,74533.0,62.0,23.0,12.0,25.0,32.0,60.0,7.0,8.0,6.0,1.5,30291.0,257.0,APAC,67.0,Bubble Wrap (Minimal Use),"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,Medium
0.85,0.53,201.0,100.0,81.0,50.0,5.0,60.0,89.0,6.0,3.0,4.0,2.6,99953.0,717.0,EMEA,85.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
1.15,1.56,25270.0,86.0,50.0,96.0,11.0,76.0,82.0,8.0,8.0,7.0,14.28,48512.0,1065.0,AMERICAS,95.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
0.78,0.5,169.0,98.0,77.0,46.0,5.0,58.0,87.0,6.0,4.0,5.0,2.82,96624.0,825.0,LATAM,90.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
0.79,0.53,242.0,99.0,81.0,52.0,5.0,60.0,90.0,5.0,4.0,4.0,3.14,103063.0,782.0,AMERICAS,88.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
0.92,1.52,40250.0,84.0,36.0,94.0,13.0,79.0,78.0,9.0,9.0,6.0,11.84,60648.0,1118.0,LATAM,96.0,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,Medium
1.17,1.46,31940.0,86.0,50.0,95.0,10.0,83.0,86.0,7.0,7.0,7.0,14.41,47587.0,975.0,EU,89.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
1.18,1.43,33525.0,90.0,48.0,93.0,11.0,80.0,90.0,8.0,7.0,7.0,15.74,52785.0,1053.0,APAC,97.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
0.78,0.5,291.0,100.0,82.0,53.0,5.0,59.0,93.0,5.0,4.0,4.0,2.81,97201.0,880.0,EU,85.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
0.79,0.53,332.0,97.0,76.0,51.0,6.0,60.0,86.0,5.0,3.0,4.0,2.94,102220.0,740.0,LATAM,84.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
3.58,3.15,90587.0,95.0,71.0,97.0,8.0,83.0,76.0,8.0,9.0,8.0,25.43,21272.0,4976.0,AMERICAS,93.0,Steel Racks & Containers,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",High
0.47,0.29,171.0,94.0,87.0,36.0,2.0,67.0,91.0,3.0,3.0,3.0,1.23,76655.0,523.0,APAC,78.0,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,High
1.15,1.52,76964.0,90.0,48.0,94.0,10.0,75.0,82.0,9.0,7.0,6.0,14.65,49673.0,998.0,EMEA,92.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
1.06,1.41,35850.0,87.0,44.0,87.0,13.0,74.0,83.0,9.0,8.0,8.0,11.55,59371.0,1147.0,LATAM,89.0,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,Medium
2.05,1.48,31602.0,73.0,30.0,12.0,25.0,31.0,56.0,8.0,7.0,7.0,1.42,31018.0,171.0,EMEA,70.0,Bubble Wrap (Minimal Use),"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,Medium
1.21,1.53,40050.0,94.0,50.0,96.0,10.0,79.0,90.0,8.0,7.0,6.0,15.25,50106.0,1088.0,ROW,96.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
3.48,2.8,157790.0,97.0,73.0,98.0,8.0,85.0,73.0,9.0,10.0,10.0,24.33,20573.0,4938.0,APAC,91.0,Steel Racks & Containers,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",High
0.72,0.48,250.0,98.0,77.0,48.0,6.0,61.0,90.0,4.0,4.0,5.0,3.39,100328.0,741.0,EU,87.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
0.5,0.3,133.0,100.0,88.0,29.0,2.0,66.0,98.0,1.0,3.0,2.0,1.76,75226.0,663.0,AMERICAS,82.0,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,High
1.15,1.38,42997.0,92.0,48.0,99.0,10.0,80.0,82.0,8.0,8.0,7.0,14.94,48860.0,978.0,AMERICAS,86.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
0.76,0.49,157.0,100.0,78.0,47.0,5.0,61.0,90.0,6.0,3.0,4.0,2.77,100871.0,847.0,ROW,90.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
1.06,1.44,33532.0,88.0,47.0,97.0,10.0,79.0,91.0,7.0,8.0,6.0,14.4,51174.0,959.0,EU,97.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
0.95,1.56,10935.0,87.0,36.0,92.0,13.0,76.0,81.0,8.0,7.0,7.0,12.59,62098.0,1250.0,ROW,91.0,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,Medium
0.73,0.5,332.0,97.0,76.0,51.0,6.0,60.0,86.0,5.0,4.0,4.0,2.94,102220.0,740.0,APAC,84.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
1.21,1.5,30911.0,90.0,50.0,95.0,10.0,81.0,85.0,9.0,7.0,6.0,14.68,52156.0,1010.0,ROW,95.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
0.52,0.31,104.0,99.0,89.0,31.0,2.0,66.0,91.0,2.0,3.0,2.0,1.96,75069.0,637.0,AMERICAS,79.0,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,High
0.92,0.53,154.0,94.0,79.0,48.0,5.0,59.0,90.0,5.0,5.0,4.0,3.22,96860.0,862.0,EMEA,86.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
2.14,1.44,64044.0,76.0,30.0,8.0,25.0,32.0,60.0,9.0,7.0,7.0,1.18,27055.0,315.0,EU,72.0,Bubble Wrap (Minimal Use),"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,Medium
1.14,1.42,25244.0,95.0,50.0,96.0,11.0,80.0,82.0,8.0,7.0,7.0,14.41,49673.0,995.0,ROW,86.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
0.79,0.53,242.0,100.0,81.0,52.0,5.0,63.0,93.0,6.0,3.0,5.0,3.14,103063.0,782.0,EMEA,88.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
1.06,1.46,69350.0,84.0,41.0,89.0,13.0,72.0,83.0,7.0,9.0,8.0,11.28,62593.0,1284.0,APAC,90.0,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,Medium
0.5,0.3,141.0,100.0,92.0,30.0,3.0,65.0,93.0,3.0,3.0,3.0,1.6,73892.0,525.0,EMEA,85.0,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,High
0.92,0.51,154.0,94.0,79.0,48.0,5.0,60.0,90.0,6.0,3.0,4.0,3.22,96860.0,862.0,LATAM,86.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
0.92,1.42,52150.0,82.0,41.0,86.0,13.0,76.0,78.0,9.0,8.0,8.0,12.72,59942.0,1268.0,EMEA,90.0,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,Medium
1.21,1.52,33525.0,90.0,48.0,93.0,10.0,79.0,90.0,8.0,7.0,7.0,15.74,52785.0,1053.0,AMERICAS,97.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
3.56,2.97,103598.0,97.0,72.0,99.0,8.0,85.0,76.0,9.0,9.0,9.0,24.62,21703.0,5063.0,AMERICAS,90.0,Steel Racks & Containers,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",High
0.85,0.51,197.0,99.0,78.0,50.0,5.0,61.0,83.0,6.0,4.0,5.0,3.87,96646.0,743.0,EU,87.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
0.98,1.5,46640.0,95.0,42.0,94.0,12.0,74.0,75.0,9.0,9.0,7.0,11.69,54650.0,1189.0,AMERICAS,88.0,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,Medium
1.15,1.52,42997.0,92.0,48.0,99.0,10.0,78.0,82.0,7.0,7.0,6.0,14.94,48860.0,978.0,ROW,86.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
0.72,0.52,169.0,98.0,77.0,46.0,4.0,61.0,87.0,5.0,3.0,4.0,2.82,96624.0,825.0,AMERICAS,90.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
0.85,0.5,153.0,100.0,77.0,53.0,5.0,60.0,84.0,5.0,4.0,4.0,2.83,101569.0,765.0,LATAM,86.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
1.06,1.48,35850.0,87.0,44.0,87.0,13.0,79.0,83.0,8.0,8.0,7.0,11.55,59371.0,1147.0,ROW,89.0,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,Medium
1.18,1.52,40050.0,88.0,50.0,96.0,10.0,79.0,90.0,7.0,8.0,7.0,15.25,50106.0,1088.0,AMERICAS,96.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
0.73,0.51,209.0,100.0,81.0,50.0,5.0,64.0,91.0,5.0,4.0,4.0,3.06,99778.0,745.0,EU,86.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
1.06,1.55,60408.0,87.0,40.0,92.0,12.0,75.0,77.0,8.0,7.0,7.0,12.01,57077.0,1087.0,APAC,88.0,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,Medium
1.18,1.41,25244.0,94.0,50.0,96.0,11.0,78.0,82.0,9.0,7.0,6.0,14.41,49673.0,995.0,LATAM,86.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
3.67,3.02,157790.0,96.0,73.0,98.0,7.0,83.0,72.0,8.0,10.0,9.0,24.33,20573.0,4938.0,LATAM,91.0,Steel Racks & Containers,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",High
0.85,0.5,197.0,96.0,78.0,50.0,6.0,59.0,83.0,4.0,4.0,5.0,3.87,96646.0,743.0,AMERICAS,87.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
1.2,1.55,30911.0,90.0,50.0,95.0,10.0,81.0,85.0,7.0,7.0,6.0,14.68,52156.0,1010.0,EMEA,95.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
0.73,0.51,291.0,99.0,82.0,53.0,5.0,60.0,93.0,6.0,4.0,4.0,2.81,97201.0,880.0,APAC,85.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
0.92,1.52,52407.0,85.0,38.0,87.0,12.0,78.0,81.0,8.0,9.0,8.0,12.45,56902.0,1222.0,AMERICAS,97.0,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,Medium
0.85,0.53,154.0,98.0,79.0,48.0,5.0,59.0,90.0,5.0,3.0,3.0,3.22,96860.0,862.0,LATAM,86.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
1.12,1.52,29304.0,92.0,48.0,93.0,10.0,79.0,83.0,8.0,7.0,7.0,15.11,51095.0,966.0,ROW,93.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
0.72,0.47,250.0,98.0,77.0,48.0,5.0,62.0,90.0,5.0,5.0,4.0,3.39,100328.0,741.0,EU,87.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
1.01,1.57,69350.0,88.0,41.0,89.0,13.0,75.0,83.0,9.0,8.0,8.0,11.28,62593.0,1284.0,ROW,90.0,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,Medium
0.92,0.52,157.0,100.0,78.0,47.0,5.0,61.0,90.0,4.0,3.0,3.0,2.77,100871.0,847.0,AMERICAS,90.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
1.15,1.5,33532.0,87.0,47.0,93.0,11.0,82.0,91.0,7.0,8.0,6.0,14.4,51174.0,959.0,LATAM,97.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
1.07,1.48,52150.0,82.0,41.0,86.0,12.0,76.0,78.0,7.0,9.0,8.0,12.72,59942.0,1268.0,APAC,90.0,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,Medium
0.73,0.53,201.0,100.0,81.0,50.0,6.0,60.0,89.0,5.0,3.0,3.0,2.6,99953.0,717.0,LATAM,85.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
1.19,1.4,76964.0,88.0,49.0,94.0,10.0,75.0,82.0,8.0,7.0,6.0,14.65,49673.0,998.0,ROW,92.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
0.79,0.5,332.0,97.0,76.0,51.0,5.0,60.0,86.0,6.0,4.0,5.0,2.94,102220.0,740.0,EMEA,84.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
1.08,1.48,35850.0,87.0,44.0,87.0,13.0,79.0,83.0,9.0,8.0,8.0,11.55,59371.0,1147.0,ROW,89.0,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,Medium
1.12,1.5,29304.0,85.0,48.0,93.0,11.0,81.0,83.0,7.0,7.0,7.0,15.11,51095.0,966.0,EU,93.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
0.73,0.53,291.0,99.0,82.0,53.0,5.0,60.0,93.0,4.0,4.0,4.0,2.81,97201.0,880.0,APAC,85.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
0.92,1.5,46640.0,95.0,42.0,94.0,12.0,74.0,75.0,8.0,8.0,8.0,11.69,54650.0,1189.0,LATAM,88.0,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,Medium
1.21,1.44,40050.0,85.0,50.0,96.0,10.0,79.0,90.0,9.0,7.0,6.0,15.25,50106.0,1088.0,APAC,96.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
0.77,0.49,197.0,99.0,78.0,50.0,5.0,61.0,83.0,6.0,3.0,4.0,3.87,96646.0,743.0,LATAM,87.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
1.01,1.43,52407.0,85.0,38.0,87.0,12.0,75.0,81.0,9.0,8.0,7.0,12.45,56902.0,1222.0,EMEA,97.0,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,Medium
1.22,1.52,42997.0,95.0,48.0,99.0,11.0,80.0,82.0,7.0,8.0,6.0,14.94,48860.0,978.0,ROW,86.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
0.85,0.52,169.0,100.0,77.0,46.0,5.0,65.0,87.0,4.0,4.0,5.0,2.82,96624.0,825.0,EMEA,90.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
1.0,1.53,60408.0,82.0,40.0,92.0,12.0,74.0,77.0,9.0,8.0,8.0,12.01,57077.0,1087.0,AMERICAS,88.0,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,Medium
1.15,1.5,30911.0,90.0,50.0,95.0,11.0,82.0,85.0,8.0,7.0,7.0,14.68,52156.0,1010.0,EU,95.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
0.72,0.51,157.0,100.0,78.0,47.0,5.0,61.0,90.0,5.0,3.0,3.0,2.77,100871.0,847.0,ROW,90.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
0.96,1.45,40250.0,88.0,36.0,94.0,12.0,77.0,78.0,9.0,9.0,6.0,11.84,60648.0,1118.0,APAC,96.0,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,Medium
1.19,1.48,76964.0,87.0,49.0,94.0,10.0,75.0,82.0,8.0,9.0,7.0,14.65,49673.0,998.0,LATAM,92.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
0.79,0.51,209.0,100.0,81.0,50.0,6.0,60.0,91.0,4.0,4.0,4.0,3.06,99778.0,745.0,AMERICAS,86.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
1.06,1.47,33532.0,90.0,47.0,97.0,11.0,81.0,91.0,9.0,8.0,7.0,14.4,51174.0,959.0,ROW,97.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
0.85,0.51,154.0,99.0,79.0,48.0,5.0,60.0,90.0,6.0,3.0,5.0,3.22,96860.0,862.0,EU,86.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
1.18,1.36,29304.0,85.0,48.0,93.0,11.0,81.0,83.0,9.0,8.0,6.0,15.11,51095.0,966.0,APAC,93.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
